market_type,market_name,establishment_year,parent_main_market,parent_main_year,market_area,record_id,market_name_length,parent_name_length,area_name_length,market_era
Main Market,¨ÉAUÀ¼ÀÆgÀÄ,1955,¨ÉAUÀ¼ÀÆgÀÄ,1955.0,¨ÉAUÀ¼ÀÆgÀÄ GvÀÛgÀ,1,11,11,18,Legacy (<=1990)
Main Market,ºÀtÄÚ ªÀÄvÀÄÛ vÀgÀPÁjUÀ¼À,1994,ºÀtÄÚ ªÀÄvÀÄÛ vÀgÀPÁjUÀ¼À,1994.0,¨ÉAUÀ¼ÀÆgÀÄ GvÀÛgÀ,2,25,25,18,Established (1991-2005)
Main Market,ºÉÆ¸ÀPÉÆÃmÉ,2011,ºÉÆ¸ÀPÉÆÃmÉ,2011.0,ºÉÆ¸ÀPÉÆÃmÉ,3,11,11,11,Modern (2006+)
Main Market,gÁªÀÄ£ÀUÀgÀ,2003,gÁªÀÄ£ÀUÀgÀ,2003.0,gÁªÀÄ£ÀUÀgÀ,4,11,11,11,Established (1991-2005)
Main Market,ZÀ£Àß¥ÀlÖt,1955,ZÀ£Àß¥ÀlÖt,1955.0,ZÀ£Àß¥ÀlÖt,5,10,10,10,Legacy (<=1990)
Main Market,PÀ£ÀPÀ¥ÀÄgÀ,1997,PÀ£ÀPÀ¥ÀÄgÀ,1997.0,PÀ£ÀPÀ¥ÀÄgÀ,6,11,11,11,Established (1991-2005)
Main Market,avÀæzÀÄUÀð,1951,avÀæzÀÄUÀð,1951.0,avÀæzÀÄUÀð,7,10,10,10,Legacy (<=1990)
Main Market,ZÀ¼ÀîPÉgÉ,1965,ZÀ¼ÀîPÉgÉ,1965.0,ZÀ¼ÀîPÉgÉ,8,9,9,9,Legacy (<=1990)
Main Market,gÁA¥ÀÄgÀ,2016,gÁA¥ÀÄgÀ,2016.0,ªÉÆ¼ÀPÁ®ÆägÀÄ,9,8,8,13,Modern (2006+)
Main Market,»jAiÀÄÆgÀÄ,1959,»jAiÀÄÆgÀÄ,1959.0,»jAiÀÄÆgÀÄ,10,10,10,10,Legacy (<=1990)
Main Market,ºÉÆ¸ÀzÀÄUÀð,1959,ºÉÆ¸ÀzÀÄUÀð,1959.0,ºÉÆ¸ÀzÀÄUÀð,11,11,11,11,Legacy (<=1990)
Main Market,ºÉÆ¼À¯ÉÌgÉ,2011,ºÉÆ¼À¯ÉÌgÉ,2011.0,ºÉÆ¼À¯ÉÌgÉ,12,10,10,10,Modern (2006+)
Main Market,zÁªÀtUÉgÉ,1948,zÁªÀtUÉgÉ,1948.0,zÁªÀtUÉgÉ,13,9,9,9,Legacy (<=1990)
Main Market,dUÀ¼ÀÆgÀÄ,2000,dUÀ¼ÀÆgÀÄ,2000.0,dUÀ¼ÀÆgÀÄ,14,9,9,9,Established (1991-2005)
